原始链接,新链接,源内容ID,目标内容ID
http://www.tttou.com.cn/sanyuan-img/upfiles/image/20140714091627.jpg,/static/upfiles/old/20140714091627.jpg,664,342
http://www.tttou.com.cn/sanyuan-img/upfiles/UploadFile2/2012710145538394.jpg,/static/upfiles/old/2012710145538394.jpg,627,315
/upfiles/image/20180303093735.jpg,/static/upfiles/old/20180303093735.jpg,810,405
http://www.tttou.com.cn/sanyuan-img/upfiles/UploadFile2/201271015174218.jpg,/static/upfiles/old/201271015174218.jpg,628,316
/upfiles/image/20180724125648.jpg,/static/upfiles/old/20180724125648.jpg,817,412
http://www.tttou.com.cn/sanyuan-img/upfiles/UploadFile2/2012119134021363.jpg,/static/upfiles/old/2012119134021363.jpg,641,326
http://player.youku.com/player.php/sid/XMjc3ODUwMzk2NA==/v.swf,/static/upfiles/old/v.swf,791,392
http://www.tttou.com.cn/sanyuan-img/upfiles/UploadFile2/2012210153829722.jpg,/static/upfiles/old/2012210153829722.jpg,622,310
http://www.tttou.com.cn/sanyuan-img/upfiles/UploadFile2/2012710151731388.jpg,/static/upfiles/old/2012710151731388.jpg,628,316
/upfiles/image/20171128131326.jpg,/static/upfiles/old/20171128131326.jpg,793,394
http://www.tttou.com.cn/sanyuan-img/upfiles/UploadFile2/2012210153848371.jpg,/static/upfiles/old/2012210153848371.jpg,622,310
http://www.tttou.com.cn/sanyuan-img/upfiles/UploadFile/100312097CA.jpg,/static/upfiles/old/100312097CA.jpg,454,283
http://www.tttou.com.cn/sanyuan-img/upfiles/UploadFile2/201211913429539.jpg,/static/upfiles/old/201211913429539.jpg,641,326
/upfiles/image/20180704133458.jpg,/static/upfiles/old/20180704133458.jpg,815,410
http://www.tttou.com.cn/sanyuan-img/upfiles/UploadFile2/2012119134122714.jpg,/static/upfiles/old/2012119134122714.jpg,641,326
http://www.tttou.com.cn/sanyuan-img/upfiles/UploadFile2/2012127134854574.jpg,/static/upfiles/old/2012127134854574.jpg,643,327
http://www.tttou.com.cn/sanyuan-img/upfiles/UploadFile2/20121011134121343.jpg,/static/upfiles/old/20121011134121343.jpg,637,323
http://www.tttou.com.cn/sanyuan-img/upfiles/UploadFile2/2012320162017629.jpg,/static/upfiles/old/2012320162017629.jpg,624,312
/upfiles/image/20180303093634.jpg,/static/upfiles/old/20180303093634.jpg,810,405
http://www.tttou.com.cn/sanyuan-img/upfiles/UploadFile/1004290904C.jpg,/static/upfiles/old/1004290904C.jpg,457,286
